awayTeamName,homeTeamName,awayScore,homeScore,awayOdds,homeOdds,Betmakers,Date
Los Angeles Lakers,Orlando Magic,99,101,316,-400,16,11/11/2015
Toronto Raptors,Philadelphia 76ers,119,103,-526,422,16,11/11/2015
Utah Jazz,Cleveland Cavaliers,114,118,202,-244,16,11/10/2015
Oklahoma City Thunder,Washington Wizards,125,101,-278,234,16,11/10/2015
Orlando Magic,Indiana Pacers,84,97,163,-189,16,11/9/2015
Chicago Bulls,Philadelphia 76ers,111,88,-667,493,16,11/9/2015
Phoenix Suns,Oklahoma City Thunder,103,124,334,-435,16,11/8/2015
Orlando Magic,Philadelphia 76ers,105,97,-156,133,16,11/7/2015
Toronto Raptors,Orlando Magic,87,92,-238,200,16,11/6/2015
New Orleans Pelicans,Cleveland Cavaliers,84,99,436,-556,16,2/6/2016
Brooklyn Nets,Philadelphia 76ers,98,103,-111,-104,16,2/6/2016
Sacramento Kings,Brooklyn Nets,119,128,-217,181,16,2/5/2016
Boston Celtics,Cleveland Cavaliers,104,103,238,-294,16,2/5/2016
Memphis Grizzlies,New York Knicks,91,85,-208,175,16,2/5/2016
Detroit Pistons,Boston Celtics,95,102,159,-185,16,2/3/2016
Indiana Pacers,Brooklyn Nets,114,100,-263,219,16,2/3/2016
Boston Celtics,New York Knicks,97,89,-189,160,15,2/2/2016
Detroit Pistons,Brooklyn Nets,105,100,-294,244,15,2/1/2016
Golden State Warriors,New York Knicks,116,95,-625,484,15,1/31/2016
Orlando Magic,Boston Celtics,94,113,303,-370,15,1/29/2016
Cleveland Cavaliers,Detroit Pistons,114,106,-179,152,15,1/29/2016
Phoenix Suns,New York Knicks,84,102,298,-370,15,1/29/2016
Denver Nuggets,Boston Celtics,103,111,415,-526,15,1/27/2016
Philadelphia 76ers,Detroit Pistons,97,110,653,-909,15,1/27/2016
Miami Heat,Brooklyn Nets,102,98,-161,140,15,1/26/2016
Oklahoma City Thunder,New York Knicks,128ÿ,122,-455,371,15,1/26/2016
Washington Wizards,Toronto Raptors,89,106,308,-385,15,1/26/2016
Oklahoma City Thunder,Brooklyn Nets,106,116,-1667,948,15,1/24/2016
Chicago Bulls,Boston Celtics,101,110,142,-164,15,1/22/2016
Utah Jazz,Brooklyn Nets,108,86,-238,202,15,1/22/2016
Los Angeles Clippers,New York Knicks,116,88,-135,116,15,1/22/2016
Cleveland Cavaliers,Brooklyn Nets,91,78,-1250,811,15,1/20/2016
Utah Jazz,New York Knicks,111ÿ,118,121,-141,15,1/20/2016
Boston Celtics,Toronto Raptors,109,115,137,-159,15,1/20/2016
Milwaukee Bucks,Miami Heat,91,79,158,-185,15,1/19/2016
Brooklyn Nets,Toronto Raptors,100,112,595,-833,15,1/18/2016
Brooklyn Nets,Atlanta Hawks,86,114,495,-667,15,1/16/2016
Golden State Warriors,Detroit Pistons,95,113,-303,250,15,1/16/2016
Portland Trail Blazers,Philadelphia 76ers,89,114,-256,214,15,1/16/2016
Boston Celtics,Washington Wizards,119,117,-120,104,15,1/16/2016
Phoenix Suns,Boston Celtics,103,117,380,-476,15,1/15/2016
Portland Trail Blazers,Brooklyn Nets,116,104,-175,150,15,1/15/2016
New York Knicks,Brooklyn Nets,104,110,-159,135,15,1/13/2016
San Antonio Spurs,Detroit Pistons,109,99,-303,246,15,1/12/2016
Boston Celtics,New York Knicks,114,120,-118,100,15,1/12/2016
San Antonio Spurs,Brooklyn Nets,106,79,-1667,1103,15,1/11/2016
Milwaukee Bucks,New York Knicks,88,100,191,-222,15,1/10/2016
Brooklyn Nets,Detroit Pistons,89,103,513,-667,15,1/9/2016
Toronto Raptors,Philadelphia 76ers,108,95,-476,379,15,1/9/2016
Orlando Magic,Brooklyn Nets,83,77,-154,135,15,1/8/2016
Detroit Pistons,Boston Celtics,99,94,136,-156,15,1/6/2016
Toronto Raptors,Brooklyn Nets,91,74,-303,252,15,1/6/2016
Boston Celtics,Brooklyn Nets,103,94,-323,267,15,1/4/2016
Orlando Magic,Detroit Pistons,89,115,158,-182,15,1/4/2016
Indiana Pacers,Miami Heat,100ÿ,103,108,-125,15,1/4/2016
Orlando Magic,Cleveland Cavaliers,79,104,350,-435,15,1/2/2016
Dallas Mavericks,Miami Heat,82,106,118,-135,15,1/1/2016
Charlotte Hornets,Toronto Raptors,94,104,218,-256,15,1/1/2016
Los Angeles Lakers,Boston Celtics,112,104,947,-1429,15,12/30/2015
Washington Wizards,Toronto Raptors,91,94,276,-333,15,12/30/2015
Detroit Pistons,New York Knicks,96,108,-123,106,15,12/29/2015
Brooklyn Nets,Miami Heat,111,105,288,-345,15,12/28/2015
